2026-03-12 05:31:53 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||942 | try=1 | status=200 | 170ms | SUCCESS
2026-03-12 05:31:56 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||944 | try=1 | status=200 | 143ms | SUCCESS
2026-03-12 05:31:58 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||945 | try=1 | status=200 | 169ms | SUCCESS
2026-03-12 05:32:00 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||946 | try=1 | status=200 | 205ms | SUCCESS
2026-03-12 05:32:02 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||946 | try=1 | status=200 | 226ms | SUCCESS
2026-03-12 05:32:05 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||946 | try=1 | status=200 | 141ms | SUCCESS
2026-03-12 05:32:06 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||948 | try=1 | status=200 | 173ms | SUCCESS
2026-03-12 05:32:09 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||949 | try=1 | status=200 | 168ms | SUCCESS
2026-03-12 05:32:11 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||950 | try=1 | status=200 | 155ms | SUCCESS
2026-03-12 05:32:14 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||951 | try=1 | status=200 | 168ms | SUCCESS
2026-03-12 05:32:15 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||953 | try=1 | status=200 | 163ms | SUCCESS
2026-03-12 05:32:18 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||954 | try=1 | status=200 | 203ms | SUCCESS
2026-03-12 05:32:20 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||956 | try=1 | status=200 | 227ms | SUCCESS
2026-03-12 05:32:21 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||957 | try=1 | status=200 | 160ms | SUCCESS
2026-03-12 05:32:23 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||958 | try=1 | status=200 | 207ms | SUCCESS
2026-03-12 05:32:26 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||960 | try=1 | status=200 | 246ms | SUCCESS
2026-03-12 05:32:29 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||961 | try=1 | status=200 | 213ms | SUCCESS
2026-03-12 05:32:32 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||962 | try=1 | status=200 | 261ms | SUCCESS
2026-03-12 05:32:34 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||963 | try=1 | status=200 | 202ms | SUCCESS
2026-03-12 05:32:36 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||966 | try=1 | status=200 | 153ms | SUCCESS
2026-03-12 05:32:38 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||966 | try=1 | status=200 | 211ms | SUCCESS
2026-03-12 05:32:41 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||967 | try=1 | status=200 | 143ms | SUCCESS
2026-03-12 05:32:43 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||969 | try=1 | status=200 | 168ms | SUCCESS
2026-03-12 05:32:44 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||970 | try=1 | status=200 | 198ms | SUCCESS
2026-03-12 05:32:46 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||971 | try=1 | status=200 | 160ms | SUCCESS
2026-03-12 05:32:48 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||973 | try=1 | status=200 | 165ms | SUCCESS
2026-03-12 05:32:51 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||975 | try=1 | status=200 | 141ms | SUCCESS
2026-03-12 05:32:53 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||977 | try=1 | status=200 | 249ms | SUCCESS
2026-03-12 05:32:56 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||979 | try=1 | status=200 | 186ms | SUCCESS
2026-03-12 05:32:59 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||979 | try=1 | status=200 | 153ms | SUCCESS
2026-03-12 05:33:01 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||981 | try=1 | status=200 | 210ms | SUCCESS
2026-03-12 05:33:03 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||983 | try=1 | status=200 | 240ms | SUCCESS
